verb,polar_or_not,polarity_dima,polarity_ira,polarity_masha,"падеж первого аргумента, по умолчанию nomn","падеж второго аргумента в нотации pymorphy2, по умолчанию accs",Комментарий,"""Класс""","rel(А0,A1)","rel(А1,A0)"
арестовать,6,0,0,0,,accs,,,,
арестовывать,6,0,0,0,,accs,,,,
атаковать,6,0,0,0,,accs,,,,
беречь,3,1,1,1,,accs,,,,
беспокоить,6,0,0,0,,accs,,,,
бить,6,0,0,0,,accs,,,,
благодарить,6,1,1,1,,accs,,,,
благословить,3,1,1,1,,accs,,,,
блокировать,3,0,0,0,,accs,,,,
болеть,3,0,0,0,,ablt,,,,
бомбить,6,0,0,0,,accs,,,,
бороться,3,0,0,0,,ablt,с,,,
бояться,6,0,0,0,,gent,,,,
бушевать,3,0,0,0,,0,одноместный,,,
вдохновить,6,1,1,1,,accs,,,,
вдохновлять,3,1,1,1,,accs,,,,
велеть,0,0,0,0,,datv,,,,
верить,1,1,1,1,,datv,в,,,
взбунтоваться,3,0,0,0,,gent,против,,,
взламывать,3,0,0,0,,accs,,,,
взломать,6,0,0,0,,accs,,,,
взорвать,6,0,0,0,,accs,,,,
взрывать,6,0,0,0,,accs,,,,
винить,6,0,0,0,,accs,,,,
влюбляться,6,1,1,1,,accs,в,,,
воевать,3,0,0,0,,gent,против,,,
воздвигнуть,1,1,1,1,,accs,,,,
возлюбить,6,1,1,1,,accs,,,,
ворваться,3,0,0,0,,acc2,в,,,
воровать,6,0,0,0,,accs,,,,
воспрепятствовать,6,0,0,0,,datv,,,,
воссоединиться,6,1,1,1,,ablt,,,,
восстать,3,0,0,0,,gent,против,,,
впечатлить,3,1,1,1,,accs,,,,
враждовать,6,0,0,0,,gent,против,,,
врать,3,0,0,0,,datv,,,,
вредить,6,0,0,0,,datv,,,,
врезаться,6,0,0,0,,accs,в,,,
встревожить,3,0,0,0,,accs,,,,
вступиться,3,1,1,1,,accs,за,,,
вторгаться,3,0,0,0,,accs,в,,,
вторгнуться,6,0,0,0,,accs,в,,,
выгнать,6,0,0,0,,accs,,,,
выгонять,3,0,0,0,,accs,,,,
выгореть,6,0,0,0,,0,одноместный,,,
выдворить,6,0,0,0,,accs,,,,
вызволить,6,1,1,1,,accs,,,,
выздороветь,3,1,1,1,,0,одноместный,,,
выкрасть,6,0,0,0,,accs,,,,
вымереть,6,0,0,0,,0,одноместный,,,
вынудить,6,0,0,0,,accs,,,,
вынуждать,6,0,0,0,,accs,,,,
выручить,6,1,1,1,,accs,,,,
гордиться,6,1,1,1,,ablt,,,,
грабить,6,0,0,0,,accs,,,,
грозить,3,0,0,0,,datv,,,,
грозиться,3,0,0,0,,ablt,,,,
громить,3,0,0,0,,accs,,,,
давить,1,0,0,0,,accs,,,,
дарить,3,1,1,1,,accs,,,,
депортировать,6,0,0,0,,accs,,,,
дестабилизировать,6,0,0,0,,accs,,,,
деформировать,1,0,0,0,,accs,,,,
дисквалифицировать,3,0,0,0,,accs,,,,
дискредитировать,6,0,0,0,,accs,,,,
добить,3,0,0,0,,accs,,,,
доверять,6,1,1,1,,datv,,,,
договариваться,1,1,1,1,,ablt,c,,,
драться,6,0,0,0,,ablt,c,,,
дружить,3,1,1,1,,ablt,c,,,
душить,6,0,0,0,,accs,,,,
жаловаться,6,0,0,0,,accs,на,,,
желать,1,1,1,1,,accs,,,,
заблокировать,1,0,0,0,,accs,,,,
заболеть,6,0,0,0,,ablt,,,,
загнать,3,0,0,0,,accs,,,,
загрызть,3,0,0,0,,accs,,,,
загрязнить,3,0,0,0,,accs,,,,
загрязнять,3,0,0,0,,accs,,,,
задавить,6,0,0,0,,accs,,,,
задержать,6,0,0,0,,accs,,,,
задерживать,3,0,0,0,,accs,,,,
задеть,1,0,0,0,,accs,,,,
задохнуться,3,0,0,0,,ablt,,,,
заинтересоваться,1,1,1,1,,ablt,,,,
заминировать,6,0,0,0,,accs,,,,
заподозрить,3,0,0,0,,accs,,,,
запретить,6,0,0,0,,accs,,,,
запрещать,1,0,0,0,,accs,,,,
запугать,6,0,0,0,,accs,,,,
запугивать,6,0,0,0,,accs,,,,
зарезать,6,0,0,0,,accs,,,,
зарубить,3,0,0,0,,accs,,,,
заставить,6,0,0,0,,accs,,,,
заставлять,3,0,0,0,,accs,,,,
застрелить,3,0,0,0,,accs,,,,
заступиться,3,1,1,1,,accs,за,,,
затребовать,3,0,0,0,,accs,,,,
захотеть,1,1,1,1,,accs,,,,
защитить,6,1,1,1,,accs,,,,
защищать,6,1,1,1,,accs,,,,
звереть,6,0,0,0,,gent,от,,,
злоупотреблять,6,0,0,0,,ablt,,,,
игнорировать,1,0,0,0,,accs,,,,
избивать,6,0,0,0,,accs,,,,
избить,6,0,0,0,,accs,,,,
изгнать,6,0,0,0,,accs,,,,
издеваться,6,0,0,0,,ablt,над,,,
изнасиловать,6,0,0,0,,accs,,,,
изобличить,3,0,0,0,,accs,,,,
израсходовать,1,0,0,0,,accs,,,,
изуродовать,6,0,0,0,,accs,,,,
инкриминировать,1,0,0,0,,datv,,,,
интересоваться,1,1,1,1,,accs,,,,
испортить,3,0,0,0,,accs,,,,
испортиться,3,0,0,0,,0,одноместный,,,
испугать,3,0,0,0,,accs,,,,
испугаться,3,0,0,0,,gent,,,,
исчерпать,3,0,0,0,,accs,,,,
казнить,6,0,0,0,,accs,,,,
конфликтовать,6,0,0,0,,ablt,с,,,
красть,6,0,0,0,,gent,у,,,
критиковать,3,0,0,0,,accs,,,,
лгать,6,0,0,0,,datv,,,,
лидировать,3,1,1,1,,loct,,,,
лишаться,3,0,0,0,,gent,,,,
лишиться,6,0,0,0,,gent,,,,
любить,6,1,1,1,,accs,,,,
мешать,3,0,0,0,,datv,,,,
модернизировать,3,1,1,1,,accs,,,,
молиться,3,1,1,1,,datv,,,,
мочить,1,0,0,0,,accs,,,,
мстить,6,0,0,0,,datv,,,,
наброситься,6,0,0,0,,accs,на,,,
навредить,6,0,0,0,,datv,,,,
навязать,3,0,0,0,,accs,,,,
навязывать,6,0,0,0,,accs,,,,
надеяться,1,1,1,1,,accs,на,,,
надоесть,3,0,0,0,,datv,,,,
надругаться,6,0,0,0,,ablt,над,,,
наехать,1,0,0,0,,accs,на,,,
