verb,0/1
сообщать,0
сообщить,0
принять,0
задержать,1
провести,0
пройти,0
писать,0
начать,0
считать,0
погибнуть,1
сделать,0
найти,0
появиться,0
отказаться,0
признать,0
удаться,0
создать,0
решить,0
предложить,0
начаться,0
добавить,0
использовать,0
проходить,0
подозревать,1
запретить,1
утверждать,0
подписать,0
пытаться,0
пострадать,1
хотеть,0
обвинять,1
написать,0
вести,0
арестовать,1
проводить,0
принимать,0
выпустить,0
пояснить,0
обвинить,0
позволить,0
требовать,1
стоить,0
прийтись,0
упасть,0
представлять,0
потребовать,1
призвать,0
достигнуть,0
пообещать,0
построить,0
помочь,1
организовать,0
приговорить,1
попросить,0
объяснить,0
следовать,0
осудить,1
выиграть,1
скончаться,1
предлагать,0
делать,0
позволять,0
поддержать,0
прекратить,0
продолжаться,0
продолжать,0
завершиться,0
увеличить,0
похитить,1
освободить,1
запустить,0
нападать,1
попытаться,0
согласиться,0
привлечь,1
основать,0
поддерживать,1
захватить,1
видеть,0
продолжить,0
разрешить,0
устроить,1
одобрить,0
увеличиться,0
потерять,1
просить,0
оценить,0
допустить,0
возникнуть,0
прийти,0
превышать,0
грозить,1
прокомментировать,0
увидеть,0
победить,0
комментировать,0
снизиться,0
объединить,0
уничтожить,1
убить,1
превысить,0
сократить,0
договориться,0
утвердить,0
обязать,1
остановить,0
умереть,1
добиться,0
пользоваться,0
забить,0
снизить,0
обещать,0
вывести,0
потратить,0
надеяться,0
приостановить,0
рассчитывать,0
угрожать,1
судить,1
начинать,0
ждать,0
спасти,0
проиграть,0
закрыть,0
напасть,1
искать,0
вынудить,1
приходиться,0
произвести,0
застрелить,1
украсть,1
создавать,0
сократиться,0
бороться,0
отказываться,0
обыграть,0
ликвидировать,1
нарушить,1
родиться,0
помогать,1
приступить,0
повысить,0
закончиться,0
появляться,0
счесть,1
повредить,1
отказать,1
призывать,1
заблокировать,1
завоевать,1
предупредить,0
понять,1
достигать,0
сотрудничать,0
возобновить,0
рекомендовать,0
подорожать,1
выпускать,0
заставить,1
защитить,1
взорвать,1
сформировать,0
поймать,1
врезаться,1
понимать,0
оценивать,0
воспользоваться,0
способствовать,1
ударить,1
нарушать,1
потребоваться,0
отрицать,1
избить,1
протестовать,1
лишиться,1
производить,0
пожаловаться,1
опасаться,1
заподозрить,1
применить,0
отклонить,1
объяснять,0
бросить,1
строить,0
запрещать,0
последовать,0
перестать,0
разрушить,1
защищать,1
предпринять,0
обжаловать,1
закончить,0
обстрелять,1
забросить,1
перекрыть,0
загореться,1
опуститься,0
потерпеть,1
блокировать,1
добиваться,0
страдать,1
пригрозить,1
стрелять,1
посчитать,0
развивать,0
лидировать,0
раскритиковать,1
атаковать,1
обновить,0
отвергнуть,1
образоваться,0
изучить,0
предотвратить,1
помешать,0
решать,0
проникнуть,1
признавать,1
обрушиться,1
наказать,1
добавлять,0
присвоить,0
усилить,0
остановиться,0
чувствовать,0
применять,0
постановить,1
спровоцировать,1
требоваться,0
изучать,0
заказать,0
разыскивать,1
подарить,0
возникать,0
приходить,0
посоветовать,0
оправдать,0
прервать,0
устраивать,1
выстрелить,1
улучшить,0
сорвать,1
предупреждать,0
привлекать,0
инициировать,0
расстрелять,1
стремиться,0
исчезнуть,0
любить,1
решаться,0
изготовить,0
мешать,1
жаловаться,1
начинаться,0
ограбить,1
верить,0
сработать,1
возвести,0
ворваться,1
желать,0
удаваться,1
охранять,1
приниматься,0
падать,1
понадобиться,0
противоречить,0
поздравить,1
нуждаться,1
пожелать,0
разобраться,0
придумать,0
придерживаться,0
объединять,0
поблагодарить,1
выручить,1
сломать,1
уменьшиться,0
образовать,0
развиваться,0
допускать,0
бояться,1
поразить,1
уличить,1
соблюдать,0
угнать,1
продолжиться,0
разгромить,1
проанализировать,0
стараться,0
снижаться,0
учредить,0
тратить,0
инвестировать,0
бить,1
уменьшить,0
разбить,1
критиковать,1
распорядиться,0
пояснять,0
преследовать,1
захотеть,0
возобновиться,0
взломать,1
отвергать,1
воевать,1
дисквалифицировать,1
предпочитать,0
исследовать,0
хватать,1
убивать,1
подорвать,1
понравиться,1
настроить,0
заставлять,1
курировать,0
обойти,0
