,verb,0/1
0,сообщать,0
1,сообщить,0
2,принять,1
3,задержать,1
4,провести,0
5,пройти,0
6,писать,0
7,начать,0
8,считать,0
9,погибнуть,1
10,сделать,0
11,найти,0
12,появиться,0
13,отказаться,1
14,признать,1
15,удаться,1
16,создать,1
17,решить,0
18,предложить,0
19,начаться,0
20,добавить,0
21,использовать,0
22,проходить,0
23,подозревать,1
24,запретить,1
25,утверждать,1
26,подписать,0
27,пытаться,0
28,пострадать,1
29,хотеть,0
30,обвинять,1
31,написать,0
32,вести,0
33,арестовать,1
34,проводить,0
35,принимать,0
36,выпустить,1
37,пояснить,0
38,обвинить,1
39,позволить,1
40,требовать,1
41,стоить,0
42,прийтись,0
43,упасть,1
44,представлять,0
45,потребовать,1
46,призвать,0
47,достигнуть,1
48,пообещать,1
49,построить,0
50,помочь,1
51,организовать,0
52,приговорить,1
53,попросить,1
54,объяснить,0
55,следовать,0
56,осудить,1
57,выиграть,1
58,скончаться,1
59,предлагать,0
60,делать,0
61,позволять,1
62,поддержать,1
63,прекратить,1
64,продолжаться,0
65,продолжать,0
66,завершиться,0
67,увеличить,0
68,похитить,1
69,освободить,1
70,запустить,0
71,нападать,1
72,попытаться,0
73,согласиться,1
74,привлечь,0
75,основать,0
76,поддерживать,1
77,захватить,1
78,видеть,0
79,продолжить,0
80,разрешить,1
81,устроить,0
82,одобрить,1
83,увеличиться,0
84,потерять,1
85,просить,1
86,оценить,0
87,допустить,1
88,возникнуть,0
89,прийти,0
90,превышать,0
91,грозить,1
92,прокомментировать,0
93,увидеть,0
94,победить,1
95,комментировать,0
96,снизиться,0
97,объединить,0
98,уничтожить,1
99,убить,1
100,превысить,0
101,сократить,0
102,договориться,0
103,утвердить,0
104,обязать,1
105,остановить,0
106,умереть,1
107,добиться,1
108,пользоваться,0
109,забить,1
110,снизить,0
111,обещать,0
112,вывести,0
113,потратить,0
114,надеяться,1
115,приостановить,0
116,рассчитывать,0
117,угрожать,1
118,судить,1
119,начинать,0
120,ждать,0
121,спасти,1
122,проиграть,1
123,закрыть,0
124,напасть,1
125,искать,0
126,вынудить,1
127,приходиться,0
128,произвести,0
129,застрелить,1
130,украсть,1
131,создавать,0
132,сократиться,0
133,бороться,1
134,отказываться,1
135,обыграть,1
136,ликвидировать,1
137,нарушить,1
138,родиться,0
139,помогать,1
140,приступить,0
141,повысить,0
142,закончиться,0
143,появляться,0
144,счесть,0
145,повредить,1
146,отказать,1
147,призывать,0
148,заблокировать,0
149,завоевать,1
150,предупредить,1
151,понять,0
152,достигать,0
153,сотрудничать,1
154,возобновить,0
155,рекомендовать,1
156,подорожать,1
157,выпускать,0
158,заставить,1
159,защитить,1
160,взорвать,1
161,сформировать,0
162,поймать,1
163,врезаться,1
164,понимать,0
165,оценивать,0
166,воспользоваться,0
167,способствовать,0
168,ударить,1
169,нарушать,1
170,потребоваться,0
171,отрицать,1
172,избить,1
173,протестовать,1
174,лишиться,1
175,производить,0
176,пожаловаться,1
177,опасаться,1
178,заподозрить,1
179,применить,0
180,отклонить,0
181,объяснять,0
182,бросить,0
183,строить,0
184,запрещать,1
185,последовать,0
186,перестать,0
187,разрушить,1
188,защищать,1
189,предпринять,0
190,обжаловать,1
191,закончить,0
192,обстрелять,1
193,забросить,1
194,перекрыть,0
195,загореться,0
196,опуститься,0
197,потерпеть,1
198,блокировать,1
199,добиваться,0
200,страдать,1
201,пригрозить,1
202,стрелять,1
203,посчитать,0
204,развивать,0
205,лидировать,1
206,раскритиковать,1
207,атаковать,1
208,обновить,0
209,отвергнуть,1
210,образоваться,0
211,изучить,0
212,предотвратить,1
213,помешать,1
214,решать,0
215,проникнуть,1
216,признавать,0
217,обрушиться,1
218,наказать,1
219,добавлять,0
220,присвоить,0
221,усилить,0
222,остановиться,0
223,чувствовать,0
224,применять,0
225,постановить,0
226,спровоцировать,1
