verb,manual_pos/neg,fasttext_pos/neg
беречь,1,1
беспокоиться,1,0
благодарить,1,1
благословить,1,1
вдохновить,1,1
вдохновлять,1,1
верить,1,1
влюбляться,1,1
воздвигнуть,1,0
возлюбить,1,1
волноваться,1,0
воссоединиться,1,0
впечатлить,1,1
вступиться,1,0
вызволить,1,0
выздороветь,1,0
выпустить,1,0
выручить,1,1
выслать,1,1
гордиться,1,1
дарить,1,1
доверять,1,1
договариваться,1,1
дружить,1,1
жалеть,1,0
желать,1,1
заинтересоваться,1,1
заслуживать,1,1
заслужить,1,1
заступиться,1,0
захотеть,1,0
защитить,1,0
защищать,1,1
избавить,1,0
извинить,1,0
интересоваться,1,1
лидировать,1,1
любить,1,1
модернизировать,1,1
молиться,1,0
надеяться,1,1
наслаждаться,1,1
недооценивать,1,1
нравиться,1,1
нуждаться,1,1
обезопасить,1,1
обогатить,1,1
обогащать,1,1
обрадоваться,1,1
объединиться,1,1
одобрить,1,1
одобрять,1,1
оправдать,1,1
оправдывать,1,1
оптимизировать,1,1
освободить,1,0
освобождать,1,1
основать,1,1
отстаивать,1,1
отстоять,1,1
охранять,1,1
поблагодарить,1,1
побудить,1,0
побуждать,1,1
повезти,1,0
поверить,1,0
подарить,1,1
подвести,1,1
поддержать,1,1
поддерживать,1,1
подружиться,1,1
пожалеть,1,0
пожелать,1,1
поздравить,1,1
поздравлять,1,1
полюбить,1,1
помиловать,1,1
помогать,1,1
помочь,1,1
понравиться,1,1
пообещать,1,1
поощрить,1,1
поощрять,1,1
поправиться,1,0
попросить,1,1
порадовать,1,1
порадоваться,1,1
поражать,1,1
поразить,1,0
поспособствовать,1,1
постараться,1,1
потрясать,1,0
потрясти,1,0
похвалить,1,1
похвастаться,1,1
пошутить,1,0
предостерегать,1,1
предостеречь,1,1
предупредить,1,1
предупреждать,1,1
пресмыкаться,1,0
приветствовать,1,1
привлекать,1,1
принять,1,1
присваивать,1,1
присвоить,1,1
присудить,1,1
присягнуть,1,0
прогрессировать,1,1
профинансировать,1,1
радовать,1,1
радоваться,1,1
разбивать,1,0
разбираться,1,0
разрешить,1,1
раскаяться,1,0
ратифицировать,1,1
рекомендовать,1,1
решиться,1,0
рискнуть,1,0
рисковать,1,1
симпатизировать,1,1
скорбеть,1,0
смягчить,1,0
совершенствовать,1,1
советовать,1,1
согласиться,1,1
соглашаться,1,1
содействовать,1,1
сотрудничать,1,1
сочувствовать,1,1
спасать,1,0
спасаться,1,0
спасти,1,0
спастись,1,0
сплотить,1,1
спонсировать,1,1
способствовать,1,1
субсидировать,1,1
творить,1,1
уважать,1,1
увлечься,1,1
угодить,1,0
угрожать,1,0
удаваться,1,1
удаться,1,0
украшать,1,1
укрепить,1,1
укреплять,1,1
укрепляться,1,1
укрывать,1,0
улучшать,1,1
улучшаться,1,1
улучшить,1,1
улучшиться,1,1
усиливать,1,1
усовершенствовать,1,1
устроить,1,1
финансировать,1,1
форсировать,1,1
хвастаться,1,1
хватать,1,0
хорошеть,1,1
ценить,1,1
чаять,1,1
адаптироваться,1,1
выиграть,1,1
выигрывать,1,1
добиться,1,0
договориться,1,0
