verb,manual_tonality,fasttext_tonality,manual_polarity,fasttext_polarity
агитировать,0.16666666666666666,0.5600420236587524,1,1
адаптироваться,0.16666666666666666,0.3728097677230835,1,1
арестовать,1.0,0.3292223811149597,0,1
арестовывать,1.0,0.2764540910720825,0,0
атаковать,1.0,0.43879204988479614,0,0
бастовать,1.0,0.5433167815208435,0,1
беречь,0.5,0.3314487040042877,1,1
беспокоить,1.0,0.6426630616188049,0,0
беспокоиться,0.16666666666666666,0.6330670714378357,0,0
бить,1.0,0.7078173756599426,0,0
благодарить,1.0,0.6103345155715942,1,1
благословить,0.5,0.5627217292785645,1,1
блокировать,0.5,0.3410007357597351,0,1
болеть,0.5,0.5197353363037109,0,0
бомбить,1.0,0.473326176404953,0,0
бороться,0.5,0.5707657933235168,0,0
бояться,1.0,0.6446858048439026,0,0
бросаться,0.16666666666666666,0.5494605898857117,0,0
бросить,0.16666666666666666,0.5540934205055237,0,0
бушевать,0.5,0.5460090637207031,0,0
вдохновить,1.0,0.606002151966095,1,1
вдохновлять,0.5,0.6152013540267944,1,1
велеть,0.0,0.2258794903755188,0,0
верить,0.16666666666666666,0.5499270558357239,1,1
взбунтоваться,0.5,0.6256481409072876,0,0
взволновать,0.5,0.5278356671333313,0,0
взламывать,0.5,0.5259029269218445,0,0
взломать,1.0,0.5125458836555481,0,0
взорвать,1.0,0.4977394938468933,0,0
взрывать,1.0,0.5399388670921326,0,0
винить,1.0,0.7740402817726135,0,0
влюбляться,1.0,0.562020480632782,1,1
воевать,0.5,0.4892631769180298,0,0
воздвигнуть,0.16666666666666666,0.25579845905303955,1,0
возлюбить,1.0,0.5368335843086243,1,1
волновать,0.16666666666666666,0.5665521025657654,0,1
волноваться,0.5,0.5698081254959106,0,0
ворваться,0.5,0.5628920793533325,0,0
воровать,1.0,0.5490863919258118,0,0
воспрепятствовать,1.0,0.43259304761886597,0,1
воссоединиться,1.0,0.32688215374946594,1,0
восстать,0.5,0.40107136964797974,0,0
востребовать,0.16666666666666666,0.5323190689086914,0,1
впечатлить,0.5,0.5458771586418152,1,1
враждовать,1.0,0.507845938205719,0,1
врать,0.5,0.7277838587760925,0,0
вредить,1.0,0.6473117470741272,0,1
врезаться,1.0,0.5128335952758789,0,0
вспыхнуть,0.16666666666666666,0.4411260485649109,0,0
встревожить,0.5,0.5312923789024353,0,0
вступиться,0.5,0.5896377563476562,1,0
вторгаться,0.5,0.49528947472572327,0,0
вторгнуться,1.0,0.4336806535720825,0,0
выгнать,1.0,0.6912487745285034,0,0
выгонять,0.5,0.6556227207183838,0,0
выгореть,1.0,0.43046560883522034,0,0
выдворить,1.0,0.4924740493297577,0,0
вызволить,1.0,0.45046374201774597,1,0
выздороветь,0.5,0.4217788875102997,1,0
выиграть,1.0,0.43553683161735535,1,1
