агитировать,1,1
адаптироваться,1,0
арестовать,6,0
арестовывать,6,0
атаковать,6,0
бастовать,6,0
беречь,3,1
беспокоить,6,0
беспокоиться,1,1
бить,6,0
благодарить,6,1
благословить,3,1
блокировать,3,0
болеть,3,0
бомбить,6,0
бороться,3,0
бояться,6,0
бросаться,1,0
бросить,1,0
бушевать,3,0
вдохновить,6,1
вдохновлять,3,1
велеть,0,0
верить,1,1
взбунтоваться,3,0
взволновать,3,0
взламывать,3,0
взломать,6,0
взорвать,6,0
взрывать,6,0
винить,6,0
влюбляться,6,1
воевать,3,0
воздвигнуть,1,1
возлюбить,6,1
волновать,1,0
волноваться,3,1
ворваться,3,0
воровать,6,0
воспрепятствовать,6,0
воссоединиться,6,1
восстать,3,0
востребовать,1,0
впечатлить,3,1
враждовать,6,0
врать,3,0
вредить,6,0
врезаться,6,0
вспыхнуть,1,0
встревожить,3,0
вступиться,3,1
вторгаться,3,0
вторгнуться,6,0
выгнать,6,0
выгонять,3,0
выгореть,6,0
выдворить,6,0
вызволить,6,1
выздороветь,3,1
выиграть,6,0
выигрывать,6,0
выкрасть,6,0
вымереть,6,0
вынудить,6,0
вынуждать,6,0
выпустить,1,1
выручить,6,1
выслать,1,1
выследить,1,0
выстрелить,6,0
вытеснить,1,0
вытеснять,3,0
гордиться,6,1
грабить,6,0
грозить,3,0
грозиться,3,0
громить,3,0
давить,1,0
дарить,3,1
депортировать,6,0
дестабилизировать,6,0
деформировать,1,0
дисквалифицировать,3,0
дискредитировать,6,0
добить,3,0
добиться,3,0
доверять,6,1
договариваться,1,1
договориться,1,0
доминировать,1,0
донести,3,0
допустить,1,0
дорожать,1,0
достигать,1,0
достигнуть,3,0
драться,6,0
дружить,3,1
душить,6,0
жалеть,3,1
жаловаться,6,0
желать,1,1
забивать,3,0
забить,1,0
заблокировать,1,0
заболеть,6,0
забрасывать,1,0
забросить,1,0
завладеть,3,0
завоевать,6,0
завоёвывать,3,0
загнать,3,0
загореться,1,0
загрызть,3,0
загрязнить,3,0
загрязнять,3,0
задавить,6,0
задержать,6,0
задерживать,3,0
задеть,1,0
задохнуться,3,0
заинтересоваться,1,1
заминировать,6,0
заподозрить,3,0
запретить,6,0
запрещать,1,0
запугать,6,0
запугивать,6,0
зарезать,6,0
зарубить,3,0
заслуживать,6,1
заслужить,6,1
заставить,6,0
заставлять,3,0
застрелить,3,0
заступиться,3,1
затребовать,3,0
захватить,6,0
захватывать,3,0
захотеть,1,1
защитить,6,1
защищать,6,1
звереть,6,0
злоупотреблять,6,0
игнорировать,1,0
избавить,1,1
избивать,6,0
избить,6,0
извинить,3,1
изгнать,6,0
издеваться,6,0
изнасиловать,6,0
изобличить,3,0
израсходовать,1,0
изуродовать,6,0
инкриминировать,1,0
интересоваться,1,1
искоренить,1,0
испортить,3,0
испортиться,3,0
испугать,3,0
испугаться,3,0
исчерпать,3,0
казнить,6,0
конфликтовать,6,0
красть,6,0
критиковать,3,0
лгать,6,0
лидировать,3,1
ликвидировать,3,0
лишаться,3,0
лишиться,6,0
лоббировать,3,0
ловить,1,0
ломать,6,0
любить,6,1
мешать,3,0
модернизировать,3,1
молиться,3,1
мочить,1,0
мстить,6,0
наброситься,6,0
навредить,6,0
навязать,3,0
навязывать,6,0
надеяться,1,1
надоесть,3,0
надругаться,6,0
наехать,1,0
наказать,6,0
нападать,6,0
напасть,6,0
напугать,6,0
нарушать,3,0
нарушить,6,0
насиловать,6,0
наслаждаться,3,1
недооценивать,1,1
нейтрализовать,6,0
ненавидеть,6,0
нервничать,3,0
нравиться,3,1
нуждаться,3,1
обвалиться,3,0
обвинить,3,0
обвинять,6,0
обворовать,3,0
обезвредить,6,0
обезглавить,6,0
обезопасить,6,1
обеспокоить,3,0
обжаловать,1,0
обидеть,6,0
обидеться,3,0
обмануть,6,0
обманывать,6,0
обогатить,1,1
обогащать,1,1
обозвать,3,0
обокрасть,6,0
обрадоваться,3,1
обрушиться,3,0
обстреливать,6,0
обстрелять,6,0
объединиться,1,1
обыграть,1,0
обыгрывать,1,0
обязать,3,0
обязывать,1,0
оговорить,1,0
огорчить,3,0
ограбить,6,0
одобрить,3,1
одобрять,6,1
одолеть,3,0
озаботить,3,0
оккупировать,6,0
окружить,1,0
опасаться,3,0
опередить,1,0
опорочить,3,0
оправдать,3,1
оправдывать,3,1
оптимизировать,1,1
осадить,3,0
освистать,3,0
освободить,6,1
освобождать,6,1
осквернить,6,0
оскорбить,6,0
оскорблять,6,0
ослабить,3,0
ослаблять,1,0
ослабнуть,1,0
осложнить,3,0
осложнять,3,0
основать,1,1
осудить,6,0
осуждать,6,0
отбить,3,0
отбиться,3,0
отвергать,3,0
отвергнуть,3,0
отвоевать,6,0
отказать,3,0
отказаться,3,0
отказывать,3,0
отклонить,1,0
отклонять,1,0
отогнать,3,0
отомстить,6,0
отпугивать,3,0
отпугнуть,3,0
отравить,6,0
отравиться,6,0
отравлять,6,0
отрицать,3,0
отстаивать,6,1
отстоять,3,1
отступить,3,0
оттеснить,3,0
охранять,3,1
падать,1,0
пасть,3,0
перебить,1,0
перерезать,3,0
переть,3,0
перехватить,1,0
плакать,6,0
плюнуть,1,0
победить,3,0
побеждать,6,0
побить,6,0
поблагодарить,6,1
побороть,3,0
побороться,3,0
побояться,3,0
побудить,1,1
побуждать,1,1
повезти,1,1
поверить,1,1
повздорить,3,0
повредить,6,0
погибнуть,6,0
погубить,6,0
подарить,3,1
подбить,1,0
подвести,1,1
подводить,6,0
поддержать,3,1
поддерживать,6,1
подкупить,3,0
подозревать,3,0
подорвать,6,0
подорожать,6,0
подружиться,6,1
подрывать,6,0
подставить,3,0
пожалеть,3,1
