roles.a0,roles.a1,roles.a2,roles.a3,variant,key,a0_a1,a1_a2,a2_a1,author_a1,author_a2,a1_a0,a0_a2,author_a0,a2_a0,a0_a3,a1_a3,author_a3,a2_a2,a2_a3,effect_a1,effect_a0,effect_a2,effect_a3,state_a0,state_a1,state_a2,len,tag
,умерший,причина смерти,,вымереть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,вымирать,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,жизнь оборвалась,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,VERB
,умерший,причина смерти,,задохнуться,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,задохнуться насмерть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,NOUN
,умерший,причина смерти,,задыхаться,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,заснуть вечным сном,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,ADJF
,умерший,причина смерти,,заснуть последним сном,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,ADJF
,умерший,причина смерти,,испустить дух,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,NOUN
,умерший,причина смерти,,кончать жизнь,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,NOUN
,умерший,причина смерти,,кончить жизнь,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,NOUN
,умерший,причина смерти,,найти себе могилу,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,NOUN
,умерший,причина смерти,,найти себе смерть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,NOUN
,умерший,причина смерти,,насмерть разбиться,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,INFN
,умерший,причина смерти,,оборвалась жизнь,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,NOUN
,умерший,причина смерти,,отдать богу душу,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,VERB
,умерший,причина смерти,,отравиться,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,отравляться,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,перейти в иной мир,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,4,NOUN
,умерший,причина смерти,,перейти в мир иной,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,4,NOUN
,умерший,причина смерти,,перемереть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,перемирать,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,NOUN
,умерший,причина смерти,,повымереть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,погибнуть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,полечь,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,полечь на поле битвы,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,4,NOUN
,умерший,причина смерти,,полечь на поле боя,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,4,NOUN
,умерший,причина смерти,,полечь на поле брани,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,4,VERB
,умерший,причина смерти,,почить,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,почить вечным сном,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,ADJF
,умерший,причина смерти,,почить навеки,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,NOUN
,умерший,причина смерти,,принимать смерть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,NOUN
,умерший,причина смерти,,принять смерть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,NOUN
,умерший,причина смерти,,разбиваться насмерть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,NOUN
,умерший,причина смерти,,разбиться насмерть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,2,NOUN
,умерший,причина смерти,,скончаться,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,убиться,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,уйти в мир иной,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,4,NOUN
,умерший,причина смерти,,уйти из жизни,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,NOUN
,умерший,причина смерти,,умереть,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,умереть от удушения,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,NOUN
,умерший,причина смерти,,умирать,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,упокоиться,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,умерший,причина смерти,,уснуть вечным сном,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,ADJF
,умерший,причина смерти,,уснуть последним сном,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,ADJF
,умерший,причина смерти,,уходить из жизни,0_2,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,3,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,брать верх,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,ADJS
победитель,побежденный,"область, сфера, в которой одержана победа",,взять верх,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,ADJS
победитель,побежденный,"область, сфера, в которой одержана победа",,восторжествовать,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,вырвать победу,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,громить,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,нанести поражение,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,обыграть,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,обыгрывать,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,одержать верх,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,ADJS
победитель,побежденный,"область, сфера, в которой одержана победа",,одержать победу,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,одерживать верх,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,ADJS
победитель,побежденный,"область, сфера, в которой одержана победа",,одерживать победу,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,одолевать,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,одолеть,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,одолеть соперника,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,перебарывать,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,перебороть,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,переиграть,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,победа,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,победить,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,победить в игре,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,3,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,побороть,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,разбивать,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,разбить,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,разбить в пух и прах,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,5,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,разбить противника,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,разгромить в пух и прах,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,5,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,разнести,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,разнести в пух и прах,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,5,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,разносить в пух и прах,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,5,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,расправиться с соперником,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,3,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,расправляться с соперником,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,3,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,смять,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,1,INFN
победитель,побежденный,"область, сфера, в которой одержана победа",,смять соперника,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,NOUN
победитель,побежденный,"область, сфера, в которой одержана победа",,торжествовать победу,0_5,,pos,,,,neg,pos,,,,,,,,-,+,,,pos,neg,,2,NOUN
,"тот, кто страдает",причина страдания,,пострадать,0_10,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
,"тот, кто страдает",причина страдания,,потерпеть,0_10,,neg,neg,pos,neg,,,,,,,,,,-,,,,,neg,,1,INFN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,боязнь,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,1,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,бояться,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,1,INFN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,впадать в панику,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,3,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,впасть в панику,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,3,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,запаниковать,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,1,INFN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,испуг,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,1,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,испугаться,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,1,INFN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,испытать боязнь,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,2,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,испытать опасение,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,2,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,испытать страх,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,2,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,испытывать боязнь,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,2,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,испытывать опасение,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,2,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,испытывать страх,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,2,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,мандраж,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,1,NOUN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,напугаться,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,1,INFN
"тот, кто боится","то или тот, чего или кого боятся","предмет страха – то или кто, за что или за кого боятся",,опасаться,0_15,neg,,,,,neg,pos,,,,,,,,,,,,neg,,,1,INFN
