verb,polar_or_not,polarity_summ,падеж второго аргумента в нотации pymorphy2,a0-a1_pol,fasttext_polarity,manual_polarity,cosine_distance,cosine_distance2,fasttext_polarity2,cosine_distance3,fasttext_polarity3
арестовывать,4,0,accs,neg,0,0,-0.04711616411805153,-0.1625133454799652,0,-0.15671464800834656,0
атаковать,4,0,accs,neg,0,0,-0.17002630233764648,-0.10949733853340149,0,-0.30512821674346924,0
беречь,3,3,accs,pos,1,1,0.05518247187137604,-0.022619711235165596,0,-0.13753564655780792,0
беспокоить,2,0,accs,neg,0,0,-0.25290146470069885,-0.12263593077659607,0,-0.3368462920188904,0
бить,3,0,accs,neg,0,0,-0.35627201199531555,-0.27013203501701355,0,-0.47479408979415894,0
благодарить,4,3,accs,pos,1,1,0.25734394788742065,0.1845448762178421,1,0.18010307848453522,1
блокировать,4,0,accs,neg,0,0,-0.02764897793531418,-0.025929801166057587,0,-0.08612485975027084,0
болеть,4,0,ablt,null,0,0,-0.260702908039093,-0.149442657828331,0,-0.3640587627887726,0
бомбить,3,0,accs,neg,0,0,-0.297227144241333,-0.27031388878822327,0,-0.49472182989120483,0
бороться,4,0,ablt,neg,0,0,-0.21519698202610016,-0.10197193920612335,0,-0.20574422180652618,0
бояться,3,0,gent,neg,0,0,-0.3584638833999634,-0.17328616976737976,0,-0.4082816243171692,0
бушевать,4,0,0,neg,0,0,-0.2408934384584427,-0.2065010666847229,0,-0.4130604565143585,0
вдохновлять,4,3,accs,pos,1,1,0.3373851478099823,0.17600467801094055,1,0.19190451502799988,1
велеть,4,0,datv,pos,0,0,-0.12044697999954224,-0.021657876670360565,0,-0.34879007935523987,0
верить,4,3,datv,pos,0,1,-0.07573127746582031,-0.02773667499423027,0,-0.2222003936767578,0
взбунтоваться,4,0,gent,neg,0,0,-0.2526828348636627,-0.1725618541240692,0,-0.34540414810180664,0
взламывать,3,0,accs,neg,0,0,-0.23803718388080597,-0.21771526336669922,0,-0.3194352090358734,0
взрывать,4,0,accs,neg,0,0,-0.31165578961372375,-0.19161008298397064,0,-0.41041299700737,0
